learning_rate,epoch,train_loss,val_loss,train_acc,val_acc,test_acc
0.1,1,2.7076413346862793,2.3089443553924562,0.10658,0.1038,0.101
0.1,2,2.3102364024353026,2.3016939220428467,0.10256,0.1038,0.101
0.1,3,2.310271111755371,2.304623265838623,0.10326,0.1061,0.1028
0.1,4,2.310252738800049,2.311540996932983,0.10348,0.1061,0.1028
0.1,5,2.310201286239624,2.3118876304626466,0.10314,0.1061,0.1028
0.01,1,0.19994908994734287,0.11153973282575608,0.93602,0.9662,0.9702
0.01,2,0.08254332759320736,0.09860653716921806,0.97444,0.9675,0.9732
0.01,3,0.0719168328475207,0.0805088890299201,0.97754,0.9761,0.9784
0.01,4,0.0635823167925328,0.06824501348808408,0.9807,0.9807,0.984
0.01,5,0.05752974001735449,0.07870567050874233,0.98276,0.9809,0.9826
0.001,1,0.26503320432543753,0.09774581097364425,0.9208,0.9712,0.9763
0.001,2,0.0711487784910202,0.07725556784570217,0.97812,0.9759,0.98
0.001,3,0.04836522920608521,0.0626871149122715,0.98464,0.9812,0.9836
0.001,4,0.036114679855927825,0.051743564543128014,0.98904,0.984,0.9862
0.001,5,0.028295270606577397,0.0468594430975616,0.9907,0.986,0.9881
