true_label\predicted_label,0,1,2,3,4,5,6,7,8,9
0,0.992857,0.001020,0.001020,0.000000,0.001020,0.000000,0.001020,0.001020,0.002041,0.000000
1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.003876,0.987403,0.001938,0.000000,0.000000,0.000000,0.004845,0.001938,0.000000
3,0.000000,0.000000,0.002970,0.991089,0.000000,0.001980,0.000000,0.001980,0.001980,0.000000
4,0.000000,0.000000,0.002037,0.000000,0.987780,0.000000,0.001018,0.002037,0.001018,0.006110
5,0.002242,0.000000,0.000000,0.006726,0.000000,0.987668,0.002242,0.000000,0.001121,0.000000
6,0.004175,0.003132,0.000000,0.001044,0.003132,0.003132,0.984342,0.000000,0.001044,0.000000
7,0.000000,0.003891,0.002918,0.000973,0.000000,0.000000,0.000000,0.988327,0.000973,0.002918
8,0.002053,0.002053,0.002053,0.002053,0.000000,0.001027,0.000000,0.002053,0.987680,0.001027
9,0.000000,0.004955,0.000000,0.005946,0.001982,0.004955,0.000000,0.002973,0.003964,0.975223
