m,n,relative_position,direct_score,relative_score,error
0,0,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
0,1,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
0,2,2,-3.902662913793,-3.902662913793,0.0000000000000000e+00
0,3,3,-3.588387851098,-3.588387851098,0.0000000000000000e+00
0,4,4,-3.517306282943,-3.517306282943,0.0000000000000000e+00
0,5,5,-3.762968589296,-3.762968589296,0.0000000000000000e+00
0,6,6,-4.097864969654,-4.097864969654,0.0000000000000000e+00
0,7,7,-4.202664697231,-4.202664697231,0.0000000000000000e+00
1,0,-1,-3.717207767844,-3.717207767844,0.0000000000000000e+00
1,1,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
1,2,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
1,3,2,-3.902662913793,-3.902662913793,0.0000000000000000e+00
1,4,3,-3.588387851098,-3.588387851098,8.8817841970012523e-16
1,5,4,-3.517306282943,-3.517306282943,0.0000000000000000e+00
1,6,5,-3.762968589296,-3.762968589296,0.0000000000000000e+00
1,7,6,-4.097864969654,-4.097864969654,8.8817841970012523e-16
2,0,-2,-3.348091576412,-3.348091576412,0.0000000000000000e+00
2,1,-1,-3.717207767844,-3.717207767844,0.0000000000000000e+00
2,2,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
2,3,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
2,4,2,-3.902662913793,-3.902662913793,0.0000000000000000e+00
2,5,3,-3.588387851098,-3.588387851098,4.4408920985006262e-16
2,6,4,-3.517306282943,-3.517306282943,4.4408920985006262e-16
2,7,5,-3.762968589296,-3.762968589296,0.0000000000000000e+00
3,0,-3,-3.258886514898,-3.258886514898,0.0000000000000000e+00
3,1,-2,-3.348091576412,-3.348091576412,0.0000000000000000e+00
3,2,-1,-3.717207767844,-3.717207767844,0.0000000000000000e+00
3,3,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
3,4,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
3,5,2,-3.902662913793,-3.902662913793,4.4408920985006262e-16
3,6,3,-3.588387851098,-3.588387851098,4.4408920985006262e-16
3,7,4,-3.517306282943,-3.517306282943,0.0000000000000000e+00
4,0,-4,-3.468352663850,-3.468352663850,4.4408920985006262e-16
4,1,-3,-3.258886514898,-3.258886514898,0.0000000000000000e+00
4,2,-2,-3.348091576412,-3.348091576412,0.0000000000000000e+00
4,3,-1,-3.717207767844,-3.717207767844,4.4408920985006262e-16
4,4,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
4,5,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
4,6,2,-3.902662913793,-3.902662913793,4.4408920985006262e-16
4,7,3,-3.588387851098,-3.588387851098,0.0000000000000000e+00
5,0,-5,-3.713010019417,-3.713010019417,4.4408920985006262e-16
5,1,-4,-3.468352663850,-3.468352663850,4.4408920985006262e-16
5,2,-3,-3.258886514898,-3.258886514898,4.4408920985006262e-16
5,3,-2,-3.348091576412,-3.348091576412,0.0000000000000000e+00
5,4,-1,-3.717207767844,-3.717207767844,0.0000000000000000e+00
5,5,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
5,6,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
5,7,2,-3.902662913793,-3.902662913793,0.0000000000000000e+00
6,0,-6,-3.690040460263,-3.690040460263,4.4408920985006262e-16
6,1,-5,-3.713010019417,-3.713010019417,4.4408920985006262e-16
6,2,-4,-3.468352663850,-3.468352663850,4.4408920985006262e-16
6,3,-3,-3.258886514898,-3.258886514898,4.4408920985006262e-16
6,4,-2,-3.348091576412,-3.348091576412,0.0000000000000000e+00
6,5,-1,-3.717207767844,-3.717207767844,4.4408920985006262e-16
6,6,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
6,7,1,-4.153173697313,-4.153173697313,0.0000000000000000e+00
7,0,-7,-3.336427119880,-3.336427119880,0.0000000000000000e+00
7,1,-6,-3.690040460263,-3.690040460263,8.8817841970012523e-16
7,2,-5,-3.713010019417,-3.713010019417,0.0000000000000000e+00
7,3,-4,-3.468352663850,-3.468352663850,4.4408920985006262e-16
7,4,-3,-3.258886514898,-3.258886514898,0.0000000000000000e+00
7,5,-2,-3.348091576412,-3.348091576412,4.4408920985006262e-16
7,6,-1,-3.717207767844,-3.717207767844,4.4408920985006262e-16
7,7,0,-4.081899897611,-4.081899897611,0.0000000000000000e+00
