image,mean_error_px,max_error_px,rms_error_px
calibration_01.png,0.19165855646133423,0.3712621033191681,0.20693695545196533
calibration_02.png,0.20832347869873047,0.3867796063423157,0.22182472050189972
calibration_03.png,0.19958429038524628,0.36701759696006775,0.21738600730895996
calibration_04.png,0.17567028105258942,0.38123276829719543,0.1941232979297638
calibration_05.png,0.18733127415180206,0.34109532833099365,0.20512497425079346
calibration_06.png,0.196416974067688,0.38526517152786255,0.21056967973709106
calibration_07.png,0.21177798509597778,0.3782767057418823,0.22643780708312988
calibration_08.png,0.17979975044727325,0.3736759126186371,0.19343116879463196
calibration_09.png,0.18226554989814758,0.33126577734947205,0.19669601321220398
calibration_10.png,0.19314998388290405,0.3470041751861572,0.2065606415271759
calibration_11.png,0.2012995481491089,0.35482943058013916,0.2149820774793625
calibration_12.png,0.20770838856697083,0.43947532773017883,0.22874297201633453
calibration_13.png,0.20108087360858917,0.33573538064956665,0.2137833535671234
calibration_14.png,0.20973284542560577,0.3981403112411499,0.22257253527641296
calibration_15.png,0.2088392823934555,0.38327404856681824,0.22061382234096527
calibration_16.png,0.18020913004875183,0.38290438055992126,0.19772864878177643
calibration_17.png,0.18994596600532532,0.3459482491016388,0.204672172665596
calibration_18.png,0.19483616948127747,0.31026342511177063,0.20505386590957642
calibration_19.png,0.19245389103889465,0.3710436224937439,0.21021024882793427
calibration_20.png,0.19683095812797546,0.33716368675231934,0.20983359217643738
calibration_21.png,0.18721748888492584,0.35044097900390625,0.20428836345672607
calibration_22.png,0.17840464413166046,0.34813255071640015,0.19512654840946198
calibration_23.png,0.20341533422470093,0.3432442843914032,0.21314963698387146
calibration_24.png,0.18173721432685852,0.34450024366378784,0.1962827891111374
